City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Karatau,KZ,43.17,70.47,35.73,32,50,3.49,scattered clouds
284,Sinazongwe,ZM,-17.26,27.46,74.32,83,92,5.84,overcast clouds
285,Aswan,EG,24.09,32.91,58.03,46,100,10.92,overcast clouds
286,Cidreira,BR,-30.18,-50.21,71.51,84,39,15.46,scattered clouds
287,Ciudad Valles,MX,21.98,-99.02,84.02,50,6,5.61,clear sky
288,Maniitsoq,GL,65.42,-52.90,19.26,63,94,13.22,overcast clouds
289,Saint Anthony,US,45.02,-93.22,21.65,68,90,1.01,overcast clouds
290,Narsaq,GL,60.92,-46.05,17.82,69,0,6.78,clear sky
291,Ponta Do Sol,PT,32.67,-17.10,65.03,70,60,8.61,broken clouds
292,Mount Gambier,AU,-37.83,140.77,62.51,82,90,14.97,overcast clouds
293,Belyy Yar,RU,53.60,91.39,33.69,70,0,17.9,clear sky
294,Anloga,GH,5.79,0.90,82.62,78,71,12.28,broken clouds
295,Mugla,TR,37.23,28.36,34.47,85,4,5.1,clear sky
296,Megion,RU,61.03,76.11,-5.78,97,91,6.85,overcast clouds
297,Andros Town,BS,24.70,-77.77,78.76,67,44,18.43,scattered clouds
298,Aloleng,PH,16.13,119.78,80.67,74,100,8.05,overcast clouds
299,College,US,64.86,-147.80,8.55,82,90,4.61,light snow
300,Merrill,US,45.18,-89.68,17.58,73,90,4.61,overcast clouds
301,Malindi,KE,-3.22,40.12,79.21,84,100,5.57,light rain
302,Jumla,NP,29.27,82.18,31.64,53,99,5.97,overcast clouds
303,Trairi,BR,-3.28,-39.27,81.27,75,2,12.19,clear sky
304,West Plains,US,36.73,-91.85,47.88,97,90,1.99,heavy intensity rain
305,Troitsko-Pechorsk,RU,62.71,56.20,7.83,95,100,7.14,light snow
306,Brae,GB,60.40,-1.35,48.11,81,59,14.9,broken clouds
307,Gushikawa,JP,26.35,127.87,60.03,60,90,16.11,overcast clouds
308,Puerto Del Rosario,ES,28.50,-13.86,65.88,68,0,8.05,clear sky
309,Ushtobe,KZ,45.25,77.98,25.32,76,25,4.76,scattered clouds
310,Nova Iguacu,BR,-22.76,-43.45,79.66,100,90,9.22,light rain
311,Oudtshoorn,ZA,-33.59,22.20,61.7,59,2,4.12,clear sky
312,Nouadhibou,MR,20.93,-17.03,66.18,72,0,13.8,clear sky
313,Saint-Pierre,RE,-21.34,55.48,73.29,78,0,3.44,light rain
314,Salalah,OM,17.02,54.09,73.49,60,40,5.75,scattered clouds
315,Cayenne,GF,4.93,-52.33,84.24,83,40,5.01,scattered clouds
316,Port-Gentil,GA,-0.72,8.78,80.56,89,40,4.61,scattered clouds
317,Ippy,CF,6.27,21.22,79.03,27,82,3.27,broken clouds
318,Kui Buri,TH,12.08,99.85,78.71,68,100,5.28,overcast clouds
319,Sargur,IN,11.98,76.42,63.54,84,7,3.8,clear sky
320,Tautira,PF,-17.73,-149.15,86.02,65,55,12.06,broken clouds
321,Zheshart,RU,62.07,49.57,-1.34,100,95,3.38,overcast clouds
322,Silleda,ES,42.70,-8.25,47.26,82,0,3.31,clear sky
323,Luderitz,NA,-26.65,15.16,62.64,82,19,9.01,few clouds
324,Tigzirt,DZ,36.89,4.12,54.86,61,91,7.45,overcast clouds
325,Tromso,NO,69.65,18.96,41.65,81,75,8.99,light intensity shower rain
326,Valparaiso,CL,-33.04,-71.63,76.64,50,0,13.8,clear sky
327,Andra,RU,62.51,65.89,-3.19,97,100,4.59,overcast clouds
328,Nakusp,CA,50.25,-117.80,32.34,51,79,2.3,broken clouds
329,Poronaysk,RU,49.22,143.12,-9.06,94,100,13.22,overcast clouds
330,Ziarat,PK,30.38,67.73,26.73,6,0,5.46,clear sky
331,Panguna,PG,-6.32,155.48,75.16,83,93,1.72,overcast clouds
332,Moyo,UG,3.66,31.72,79.07,39,100,2.04,overcast clouds
333,Murom,RU,55.57,42.04,24.93,97,92,5.08,overcast clouds
334,Pyu,MM,18.48,96.43,62.46,77,6,6.15,clear sky
335,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,80.74,94,97,1.72,moderate rain
336,Muros,ES,42.78,-9.06,52.84,72,0,3.18,clear sky
337,Kavieng,PG,-2.57,150.80,81.12,80,96,3.49,moderate rain
338,High Level,CA,58.52,-117.14,-21.89,76,40,6.91,scattered clouds
339,Paraopeba,BR,-19.28,-44.40,71.15,97,100,0.34,light rain
340,Talcahuano,CL,-36.72,-73.12,67.68,45,0,12.66,clear sky
341,Ucluelet,CA,48.93,-125.55,41.09,84,100,1.01,overcast clouds
342,Xichang,CN,27.90,102.26,44.35,79,81,0.58,broken clouds
343,Kigoma,TZ,-4.88,29.63,71.96,84,99,4.74,overcast clouds
344,Miles City,US,46.41,-105.84,8.51,66,90,25.32,haze
345,Normandin,CA,48.83,-72.53,30.51,74,91,18.41,overcast clouds
346,Camacha,PT,33.08,-16.33,62.02,72,40,10.36,scattered clouds
347,Ketchikan,US,55.34,-131.65,28.87,86,90,3.44,light snow
348,Linxia,CN,35.60,103.21,23.67,53,100,1.48,overcast clouds
349,Emerald,AU,-23.53,148.17,76.33,78,0,4.61,clear sky
350,Dingzhou,CN,38.51,115.00,17.71,28,0,5.82,clear sky
351,Grand Gaube,MU,-20.01,57.66,77.4,76,5,1.01,clear sky
352,Vardo,NO,70.37,31.11,30.18,93,75,16.11,light snow
353,Chapais,CA,49.78,-74.85,15.58,86,100,14.5,overcast clouds
354,Bilibino,RU,68.05,166.44,-29.09,100,100,0.2,overcast clouds
355,Lasa,IT,46.62,10.70,41.88,56,0,8.19,clear sky
356,Visby,SE,57.64,18.30,41.22,87,75,9.22,broken clouds
357,Payo,ID,-3.75,103.64,72.5,94,100,1.16,overcast clouds
358,Sao Sebastiao,BR,-23.76,-45.41,76.42,90,83,3.27,broken clouds
