City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Harlingen,US,83.34,broken clouds,26.19,-97.7,Courtyard by Marriott Harlingen
401,Andahuaylas,PE,66.22,overcast clouds,-13.66,-73.39,La Mansion Casa Hotel
405,Kahului,US,81.97,few clouds,20.89,-156.47,Maui Seaside Hotel
406,Panlaitan,PH,81.25,overcast clouds,12.12,119.85,Panlaitan Cetro Beach
407,Ancud,CL,63.43,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
409,San Patricio,US,82.81,overcast clouds,28.02,-97.52,"Motel 6 Sinton, TX"
410,Tabuk,PH,71.92,overcast clouds,17.42,121.44,Golden Berries Hotel and Convention
412,Dhidhdhoo,MV,81.99,scattered clouds,6.88,73.1,Dhidhoo beach
415,Mahajanga,MG,82.42,light rain,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
416,Guarapari,BR,80.89,overcast clouds,-20.67,-40.5,Hotel Porto do Sol
417,Alyangula,AU,78.67,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
419,Byron Bay,AU,75.15,overcast clouds,-28.65,153.62,Backpackers Inn
421,Luganville,VU,80.74,broken clouds,-15.53,167.17,The Espiritu Hotel
430,Gidole,ET,63.66,overcast clouds,5.65,37.37,Shallom mekaneyesus church
432,Kidal,ML,70.83,clear sky,18.44,1.41,
434,Port Blair,IN,75.4,scattered clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
437,Nioki,CD,71.67,few clouds,-2.72,17.68,
439,Axim,GH,80.37,few clouds,4.87,-2.24,Axim Beach Resort And Spa
440,Kota Kinabalu,MY,78.78,few clouds,5.97,116.07,The Klagan Hotel
441,Karratha,AU,80.76,light rain,-20.74,116.85,ibis Styles Karratha
443,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
445,Quebrangulo,BR,76.68,broken clouds,-9.32,-36.47,Pousada Central Quebrangulo Al
447,Cape Coast,GH,81.34,broken clouds,5.11,-1.25,Samrit Hotel
450,Tacuarembo,UY,82.26,clear sky,-31.73,-55.98,Complejo San Fructuoso
452,Dingle,PH,74.05,overcast clouds,11.0,122.67,SEGAYA PROPERTY
453,Cockburn Town,TC,79.38,clear sky,21.46,-71.14,Osprey Beach Hotel
454,Trincomalee,LK,79.47,overcast clouds,8.57,81.23,Welcombe Hotel
456,Campo Largo,BR,73.0,scattered clouds,-25.46,-49.53,Hotel Campo Largo Express
460,Mangai,CD,68.81,scattered clouds,-4.05,19.53,
461,Luanda,AO,76.37,overcast clouds,-8.84,13.23,Hotel Fórum
463,Padang,ID,73.45,light rain,-0.95,100.35,Mercure Padang
464,East London,ZA,62.1,light rain,-33.02,27.91,Tu Casa
465,Alta Floresta,BR,75.74,moderate rain,-9.88,-56.09,Floresta Amazonica Hotel
468,Dwarka,IN,69.06,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
469,Davila,PH,76.98,overcast clouds,18.47,120.58,Blue Ridge Beach Resort
470,Koindu,GN,75.78,few clouds,8.44,-10.33,
475,Pangai,TO,84.31,few clouds,-19.8,-174.35,Ha'apai Beach Resort
476,Villanueva,HN,83.03,overcast clouds,15.32,-88.0,Apartamentosjuarez
479,Bima,ID,78.31,scattered clouds,-8.47,118.72,Lambitu Hotel
481,Yeppoon,AU,76.78,broken clouds,-23.13,150.73,Villa Mar Colina
485,Auki,SB,77.77,overcast clouds,-8.77,160.7,Auki Motel
486,Pontes E Lacerda,BR,74.89,overcast clouds,-15.23,-59.34,Hotel Bressan
489,Gwadar,PK,68.79,clear sky,25.12,62.33,Sadaf Resort
492,Belmopan,BZ,79.88,scattered clouds,17.25,-88.77,Villa San Juan
493,Port Augusta,AU,70.7,clear sky,-32.5,137.77,Majestic Oasis Apartments
494,Palauig,PH,80.22,light rain,15.44,119.9,Sunset Villas by Alperi
499,Betong,TH,72.05,overcast clouds,5.77,101.07,New Cathay Hotel
504,Sao Jose Da Coroa Grande,BR,79.32,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
505,Manta,EC,76.78,broken clouds,-0.95,-80.73,Balandra Hotel
507,Isabela,PH,77.05,overcast clouds,6.71,121.97,Isawad Resort
509,Riyadh,SA,64.54,overcast clouds,24.69,46.72,"InterContinental Riyadh, an IHG Hotel"
510,Marawi,PH,65.64,overcast clouds,8.0,124.29,Derogongan Residence
512,Ambilobe,MG,74.91,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
513,Wanning,CN,69.48,overcast clouds,18.8,110.4,Paradise Hotel
515,Beira,MZ,75.6,light rain,-19.84,34.84,Beira Terrace Hotel
516,Merauke,ID,78.94,heavy intensity rain,-8.47,140.33,
519,Saquarema,BR,77.02,scattered clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
523,Dalby,AU,72.3,clear sky,-27.18,151.27,Kobbers Motor Inn Dalby
525,Ulladulla,AU,76.1,broken clouds,-35.35,150.47,Sandpiper Motel
527,Havelock,US,71.06,few clouds,34.88,-76.9,Sherwood Motel
528,Marolambo,MG,70.32,broken clouds,-20.05,48.12,local guide suport centre
530,La Ligua,CL,74.98,clear sky,-32.45,-71.23,Hostal Aconcagua
535,Gamba,GA,76.03,overcast clouds,-2.65,10.0,
536,Cairns,AU,82.94,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
537,Wyndham,US,70.9,broken clouds,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
539,Kavaratti,IN,82.02,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
541,Saurimo,AO,64.96,overcast clouds,-9.66,20.39,Hotel Kawissa Saurimo
543,Puerto Leguizamo,CO,78.53,overcast clouds,-0.19,-74.78,la casona de juancho
544,Iracoubo,GF,79.03,scattered clouds,5.48,-53.2,Le Gîte d’Iracoubo
545,Gold Coast,AU,77.38,scattered clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
546,Ixtapa,MX,81.63,few clouds,20.7,-105.2,Hotel Plaza Providencia
547,Aripuana,BR,75.85,overcast clouds,-9.17,-60.63,
550,Camocim,BR,81.48,clear sky,-2.9,-40.84,Ilha Praia Hotel
553,Levelland,US,63.45,overcast clouds,33.59,-102.38,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
555,Lagdo,CM,75.27,broken clouds,9.05,13.73,
556,La Palma,US,70.9,clear sky,33.85,-118.05,"Levar & Ryan Properties, LLC."
557,Nishihara,JP,60.08,overcast clouds,26.18,127.76,Minshuku Agaihama
